FIPS,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Others
13135,0.078919,0.057664,0.10677,0.076147,0.6805
13137,0.085871,0.249533,0.131813,0.093573,0.439209
13139,0.150391,0.253901,0.093356,0.069387,0.432965
13141,0.247423,0.303551,0.148454,0.079175,0.221397
13143,0.128006,0.300593,0.16104,0.114824,0.295536
13145,0.062372,0.246327,0.074627,0.156914,0.459761
13147,0.053472,0.409855,0.141838,0.086704,0.308131
13149,0.062414,0.413426,0.075738,0.046284,0.402138
13151,0.143317,0.046398,0.159708,0.13005,0.520528
13153,0.146939,0.106304,0.162513,0.166533,0.417711
13155,0.276725,0.148413,0.081266,0.02522,0.468376
13157,0.029623,0.199071,0.085408,0.042729,0.643169
13159,0.143963,0.234929,0.156061,0.090128,0.374919
13161,0.076361,0.349605,0.137184,0.097227,0.339624
13163,0.107264,0.226532,0.149303,0.058855,0.458046
13165,0.230419,0.013588,0.130631,0.144239,0.481123
13167,0.209397,0.133125,0.21142,0.03844,0.407617
13169,0.131665,0.013207,0.188926,0.139894,0.526308
13171,0.10565,0.206026,0.138242,0.102119,0.447963
13173,0.184976,0.244546,0.120128,0.153084,0.297267
13175,0.167131,0.145011,0.136026,0.12376,0.428072
13177,0.094587,0.094282,0.149965,0.090343,0.570823
13179,0.141805,0.191072,0.144172,0.147242,0.375709
13181,0.034003,0.040791,0.148378,0.113345,0.663483
13183,0.121535,0.0,0.177322,0.09165,0.609493
13185,0.166673,0.074994,0.13695,0.139496,0.481887
13187,0.156267,0.081343,0.158282,0.225516,0.378591
13193,0.134547,0.223227,0.152032,0.106393,0.3838
13195,0.034981,0.010207,0.198756,0.30847,0.447585
13197,0.247113,0.269418,0.113872,0.094502,0.275096
13189,0.069357,0.078309,0.153352,0.102815,0.596167
13191,0.121384,0.0,0.098419,0.024605,0.755593
13199,0.264879,0.084683,0.181,0.072526,0.396912
13201,0.433821,0.015268,0.116304,0.048519,0.386087
13205,0.089223,0.464607,0.110809,0.073213,0.262149
13207,0.155443,0.078203,0.1351,0.097362,0.533892
13209,0.103901,0.16778,0.130839,0.083698,0.513781
13211,0.067463,0.230021,0.141645,0.139126,0.421744
13213,0.090003,0.354102,0.148614,0.096349,0.310932
