FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
13039,16.900000,18.533077,0.657637,13.635263
13043,12.000000,24.261720,0.286083,18.014027
13045,13.100000,18.973764,0.558749,13.613159
13047,16.700000,2.700979,0.444972,17.730644
13049,16.700000,28.739975,2.560148,15.977791
13051,10.300000,40.118951,0.360311,15.379934
13053,6.100000,19.159491,1.338450,4.829652
13055,12.300000,9.681323,0.447761,17.563534
13057,10.200000,6.783029,0.539447,13.920968
13059,6.700000,27.805702,0.397393,10.962852
13061,15.600000,60.374091,0.381018,26.809837
13063,11.200000,69.862404,0.580426,9.321686
13065,25.200000,26.729844,0.872443,16.200361
13067,8.700000,27.471346,0.503921,12.258065
13069,11.100000,28.032395,0.552294,13.760936
13071,17.800000,22.947008,1.258993,15.472013
13073,10.100000,17.614767,0.407671,13.502408
13075,16.000000,27.485142,0.402051,16.542361
13077,9.500000,17.907092,0.414084,13.877310
13079,20.300000,20.498458,0.657574,18.801754
13081,19.200000,44.201584,0.322995,18.658466
13083,24.100000,1.164797,0.591643,19.302354
13085,16.400000,0.757485,0.486385,20.113224
13087,14.700000,41.956726,0.824083,16.206961
13089,8.500000,53.725028,0.467909,12.440553
13091,16.500000,29.509780,0.458826,18.048780
13093,16.100000,48.934773,0.269955,20.122574
13095,15.000000,70.255252,0.273994,15.373234
13097,10.500000,46.954194,0.466521,11.541928
13099,19.400000,50.971016,0.566019,19.010442
13101,11.200000,4.775000,3.025000,13.025000
13103,10.000000,13.759447,0.453449,11.612799
13105,8.100000,28.169456,0.449791,20.915272
13107,17.400000,34.366708,0.464355,16.110915
13109,7.300000,29.987874,0.540994,16.024625
13111,15.200000,0.712525,0.462178,29.513942
13113,12.100000,23.665818,0.451264,18.188068
13115,14.400000,14.430137,0.769961,16.736957
13117,7.900000,3.793552,0.496171,12.011648
13119,13.900000,9.282022,0.416974,19.007080
13121,8.200000,43.613741,0.280922,11.687303
13123,19.800000,0.632788,0.697690,24.828011
13125,17.100000,8.881469,0.500835,17.963272
13127,14.700000,26.227719,0.496368,20.238444
13129,14.900000,3.862356,0.605010,14.839213
13131,16.900000,28.321481,1.264749,18.231776
13133,13.700000,33.331450,0.576336,29.054130
13135,10.900000,27.551976,0.848907,10.052372
13137,8.700000,3.798361,1.033313,18.150172
13139,12.700000,7.321863,0.838989,14.893049
13141,18.900000,70.843316,0.574988,23.334931
13143,8.900000,4.638879,0.369079,16.161582
13145,13.900000,16.406091,0.501813,18.784627
13147,8.300000,18.889613,0.214568,21.606192
13149,20.100000,9.647277,0.505093,17.459382
13151,13.000000,45.253670,0.360525,11.647989
13153,9.800000,31.683487,0.482411,12.711216
13155,17.800000,27.633539,0.191530,17.939987
13157,12.000000,6.948113,0.366363,14.421630
13159,12.700000,19.608262,0.484330,17.478632
13161,24.300000,14.565174,0.825072,15.749551
13163,22.200000,52.417369,0.233312,18.269605
13165,13.600000,41.863411,0.460670,16.791432
13167,14.700000,33.745365,0.432633,18.788628
13169,20.200000,24.909142,0.352949,17.640481
13171,20.700000,30.310526,0.378947,16.963158
13173,32.700000,21.653772,1.015474,14.081238
13175,16.500000,36.993133,0.359218,17.662969
13177,25.300000,21.757828,0.322537,12.602473
13179,13.000000,42.148397,0.715482,9.250858
13181,16.800000,28.982944,0.543272,23.815540
13183,9.100000,25.686914,0.810612,9.637857
13185,15.800000,36.373484,0.458215,12.350306
13187,11.300000,1.529358,0.740404,17.557275
13189,19.300000,41.159259,0.431935,17.542149
13191,15.700000,33.577406,0.634589,26.694561
13193,17.300000,59.826524,0.570646,17.271551
13195,15.900000,8.981450,0.424958,16.971332
13197,23.500000,30.583164,1.005868,20.009580
13199,20.800000,38.745965,0.522119,20.362635
13201,18.900000,27.699613,0.422089,22.230039
13205,11.300000,47.683850,0.626352,16.285148
13207,10.900000,22.532703,0.392442,18.542878
13209,9.100000,24.747090,0.130534,17.132601
13211,13.700000,21.996499,0.657720,20.044555
13213,20.500000,0.756494,0.991959,14.856842
13215,13.100000,46.422023,0.509889,13.393078
13217,17.800000,45.546416,0.461015,13.018870
13219,6.000000,5.023936,0.275005,15.163475
13221,12.000000,16.746380,0.385280,18.852132
13223,12.200000,20.006218,0.422448,10.603253
13225,15.100000,43.993845,0.505550,15.998095
13227,14.000000,1.031895,0.528455,21.901188
13229,20.700000,8.473877,0.866471,17.030275
13231,5.600000,9.139208,0.311259,15.933240
13233,16.000000,12.295738,0.802920,15.481516
13235,21.600000,31.240401,0.442678,22.612702
13237,22.300000,26.140584,0.495208,24.054290
13239,17.200000,46.994296,0.702062,31.197894
13241,17.600000,1.286536,0.551373,27.645699
13243,12.300000,61.056637,0.117079,23.884092
13245,12.000000,56.004842,0.437600,14.061740
