FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
2020,7680.076172,14.991107,15.041432,31.800000,110.410520,38.000000,5.493912,,16.218920
2050,14126.360879,23.963875,30.418017,31.000000,99.579550,10.000000,12.770270,,60.263447
2060,,15.385269,18.137644,41.800000,0.000000,32.000000,6.349206,,15.277778
2068,,13.489019,17.574688,25.300000,,,7.812500,,26.241135
2070,13105.632679,23.024201,26.930817,35.600000,263.584750,26.000000,8.189443,,37.818182
2090,7006.596494,11.956413,15.853579,30.000000,78.232350,35.000000,5.802477,,23.792664
2100,,12.712833,16.117829,27.000000,277.117970,27.000000,9.523810,,25.213675
2105,,17.067995,20.073738,32.200000,,,12.607945,,20.359281
2110,7650.708832,11.464424,16.584871,27.300000,127.749740,43.000000,4.422006,,12.850082
2122,8212.958351,14.748129,17.338153,32.700000,78.475530,,7.714081,,17.900372
2130,7733.047869,13.688454,16.935100,38.200000,101.039260,38.000000,6.006262,,17.082534
2150,5023.530511,13.282747,15.438973,34.100000,126.412850,42.000000,5.829308,,21.810251
2158,19111.252266,36.931953,41.000949,23.200000,,20.000000,19.903988,,70.893372
2164,,21.619200,28.301189,37.800000,0.000000,,11.637348,,29.787234
2170,6908.435191,13.213903,17.500579,34.400000,45.056880,32.000000,7.638393,,19.811933
2180,14661.794409,24.789506,31.530573,40.300000,90.716660,4.000000,11.597374,,51.909722
2185,10484.625884,16.333937,23.851087,40.100000,30.668570,,7.031937,,43.069307
2188,16982.255443,23.528243,30.516918,42.100000,52.056220,,14.227086,,50.918635
2195,,12.253775,15.187538,25.000000,182.871080,,8.689459,,18.623482
2198,13102.630303,18.486603,22.272228,44.900000,77.603600,,10.865816,,16.997792
2220,5871.444081,12.524738,16.250455,26.600000,195.649670,31.000000,4.151543,,17.118402
2230,,11.604994,15.584385,32.600000,0.000000,24.000000,9.808612,,10.465116
2240,7042.437053,14.797082,19.610170,32.800000,101.626020,21.000000,9.591837,,24.220624
2261,7320.558004,12.210571,16.590623,34.800000,97.003660,,7.444834,,19.591141
2275,,15.080495,17.384484,42.600000,119.000400,,7.040913,,12.918660
2282,,16.437249,19.879947,31.900000,0.000000,,8.163265,,18.367347
2290,18288.639546,22.928933,29.691434,30.500000,18.639330,31.000000,15.284872,,50.505051
4001,15888.929646,25.951202,21.513107,33.500000,32.120210,38.000000,10.065328,5.700000,31.886305
4003,7452.321919,18.069449,14.995846,29.800000,54.506400,33.000000,5.603327,7.500000,16.199472
4005,8704.784636,15.884514,15.990186,23.800000,84.531450,39.000000,5.491483,5.600000,25.303494
4007,14227.288131,18.669722,17.628105,30.800000,46.728100,38.000000,5.888094,5.800000,16.230733
