FIPS,County,Vulnerability Index,Infection Rate: Transmissible Cases,Infection Rate: Disease Spread,Pop Concentration: Pop Mobility,Pop Concentration: Residential Density,Intervention: Testing,Health & Environment: Pop Demographics,Health & Environment: Air Pollution,Health & Environment: Age Distribution,Health & Environment: Co-morbidities,Health & Environment: Health Disparities,Health & Environment: Hospital Beds
22019,"Louisiana, Calcasieu",0.579932376,0.829019395,0.346524607,0.637290769,0.7829,0.071072408,0.607330343,0.389221557,0.493912975,0.428450078,0.397432193,0.391467175
22033,"Louisiana, East Baton Rouge",0.553632518,0.763199593,0.259644478,0.730435508,0.7593,0.071072408,0.592122359,0.359281437,0.466894495,0.385148791,0.33695619,0.362748127
22051,"Louisiana, Jefferson",0.530253105,0.734483484,0.1561386,0.731267059,0.461,0.071072408,0.620902622,0.299401198,0.538099217,0.410717531,0.380741121,0.401369294
22055,"Louisiana, Lafayette",0.552062338,0.768865549,0.258530184,0.709982041,0.8376,0.071072408,0.570097908,0.383233533,0.437763125,0.321427489,0.32431337,0.387720785
22071,"Louisiana, Orleans",0.522703132,0.661081658,0.112896903,0.758301496,0.7771,0.071072408,0.635605166,0.359281437,0.472457163,0.407187699,0.466620205,0.404021964
23005,"Maine, Cumberland",0.449526893,0.392721712,0.059547244,0.653639882,0.5925,0.709770194,0.361801114,0.299401198,0.564890998,0.160387475,0.063356598,0.403521591
24510,"Maryland, Baltimore City",0.61335428,0.677766945,0.182297346,0.844328355,0.873,0.565772992,0.667181781,0.389221557,0.464081714,0.487736067,0.43403316,0.312013672
25005,"Massachusetts, Bristol",0.476921703,0.478521856,0.048288847,0.672960346,0.6466,0.464372056,0.453863959,0.233532934,0.542700409,0.283975984,0.205255825,0.475621433
25009,"Massachusetts, Essex",0.483400814,0.46972074,0.033374104,0.714390212,0.8045,0.464372056,0.457552019,0.28742515,0.542700409,0.190511783,0.137971427,0.504196422
25013,"Massachusetts, Hampden",0.509498826,0.454082349,0.041186831,0.690324008,0.843,0.464372056,0.524808249,0.311377246,0.535777142,0.305330335,0.325171827,0.425550358
25017,"Massachusetts, Middlesex",0.459318819,0.438662553,0.03638209,0.742017594,0.8195,0.464372056,0.384214925,0.329341317,0.50419478,0.107574809,0.026033886,0.498776893
25021,"Massachusetts, Norfolk",0.463229922,0.485049612,0.056299213,0.724992379,0.6603,0.464372056,0.391980678,0.305389222,0.540406913,0.155486742,0.026527014,0.560290761
25023,"Massachusetts, Plymouth",0.42340397,0.391072019,0.023294325,0.647836044,0.3515,0.464372056,0.472253782,0.251497006,0.560557324,0.262450582,0.056738275,0.472034702
25025,"Massachusetts, Suffolk",0.519532644,0.487814146,0.031639274,0.868686279,0.9774,0.464372056,0.608573482,0.275449102,0.412698771,0.175065415,0.312469985,0.328175927
25027,"Massachusetts, Worcester",0.468556481,0.44571708,0.038133353,0.661842881,0.7931,0.464372056,0.414637074,0.293413174,0.509231233,0.22846461,0.120644613,0.47578199
26045,"Michigan, Eaton",0.483485438,0.468698099,0.178733032,0.630571056,0.4126,0.411474577,0.47355658,0.473053892,0.567039084,0.34224595,0.13453001,0.674770113
26049,"Michigan, Genesee",0.522298,0.514687766,0.120058565,0.70294761,0.4585,0.411474577,0.582010921,0.431137725,0.549497408,0.437921856,0.389855317,0.437261774
26065,"Michigan, Ingham",0.518716362,0.458914562,0.136300417,0.719201041,0.8574,0.411474577,0.541220063,0.45508982,0.449690281,0.315962465,0.315685074,0.405589194
26077,"Michigan, Kalamazoo",0.509864019,0.483269856,0.142377435,0.701298535,0.6947,0.411474577,0.521348812,0.520958084,0.491297583,0.319824809,0.22047486,0.425119231
26081,"Michigan, Kent",0.512920644,0.552162058,0.124016593,0.734869902,0.6501,0.411474577,0.541240829,0.508982036,0.455513708,0.250675023,0.194735478,0.443006105
26099,"Michigan, Macomb",0.501658873,0.554026813,0.126261542,0.770925572,0.313,0.411474577,0.483897841,0.479041916,0.540406913,0.352040947,0.203818237,0.53586422
26125,"Michigan, Oakland",0.454642771,0.520393191,0.09127915,0.767910956,0.184,0.411474577,0.492565513,0.48502994,0.533440509,0.185602043,0.070870236,0.411036614
26161,"Michigan, Washtenaw",0.487372045,0.491336861,0.134328358,0.719613868,0.7873,0.411474577,0.499915571,0.479041916,0.455513708,0.154053954,0.10430032,0.370860623
26163,"Michigan, Wayne",0.563610532,0.5423192,0.080374387,0.811757307,0.6587,0.411474577,0.627707767,0.502994012,0.50419478,0.444435558,0.474114812,0.427535279
27053,"Minnesota, Hennepin",0.533956408,0.630567552,0.173589984,0.79009597,0.822,0.576475683,0.607481504,0.329341317,0.466894495,0.134160107,0.083261554,0.403061192
27109,"Minnesota, Olmsted",0.46915144,0.556540144,0.136566688,0.664118515,0.5871,0.576475683,0.441309971,0.305389222,0.501650799,0.170934536,0.036287312,0.242986528
27123,"Minnesota, Ramsey",0.556571787,0.612687212,0.172090207,0.794299491,0.944,0.576475683,0.584499545,0.359281437,0.477938024,0.202580243,0.194640804,0.411337962
27137,"Minnesota, St. Louis",0.47164851,0.434704663,0.306010929,0.554022894,0.8182,0.576475683,0.479439801,0.281437126,0.58583425,0.276800453,0.157907099,0.351443882
28047,"Mississippi, Harrison",0.606466753,0.675560117,0.341574168,0.657543761,0.8637,0.558742096,0.589205438,0.407185629,0.486011086,0.429627739,0.568607978,0.32104662
28049,"Mississippi, Hinds",0.627839727,0.781149213,0.336732653,0.670897105,0.872,0.558742096,0.548957256,0.461077844,0.461247542,0.46541956,0.549757573,0.277316504
28089,"Mississippi, Madison",0.535442583,0.746260453,0.262777024,0.606858761,0.2693,0.558742096,0.600494798,0.461077844,0.443774413,0.300937865,0.144378238,0.62085725
29019,"Missouri, Boone",0.554212887,0.641667025,0.408888889,0.654663809,0.7144,0.792421139,0.488691355,0.425149701,0.4094438,0.246936748,0.216092718,0.342499635
29021,"Missouri, Buchanan",0.568391931,0.517341009,0.086749285,0.642509193,0.8571,0.792421139,0.488340491,0.431137725,0.523944662,0.455785356,0.37970572,0.394455365
29037,"Missouri, Cass",0.528901583,0.681448427,0.606418919,0.570475153,0.0684,0.792421139,0.455159521,0.413173653,0.538099217,0.350944896,0.134031943,0.563467475
29047,"Missouri, Clay",0.485806768,0.520999406,0.303383897,0.695195708,0.1442,0.792421139,0.491425216,0.419161677,0.472457163,0.30170219,0.095589515,0.412483051
29077,"Missouri, Greene",0.589248703,0.607323538,0.515097691,0.689937568,0.8087,0.792421139,0.441810897,0.425149701,0.531089133,0.378932465,0.31785609,0.40770821
29095,"Missouri, Jackson",0.579775422,0.616207847,0.465663217,0.732266852,0.5479,0.792421139,0.602197222,0.443113772,0.493912975,0.384734586,0.29677613,0.36103775
29165,"Missouri, Platte",0.49271341,0.533371155,0.403389831,0.66074044,0.1254,0.792421139,0.484471674,0.431137725,0.483339449,0.306553965,0.053691577,0.572077705
29183,"Missouri, St. Charles",0.526722544,0.715696763,0.533759124,0.691433863,0.1213,0.792421139,0.373016984,0.520958084,0.491297583,0.254381633,0.036710939,0.492780208
29510,"Missouri, St. Louis City",0.640169178,0.703435819,0.275901156,0.824215303,0.7985,0.792421139,0.602618025,0.508982036,0.446744085,0.513288023,0.485222238,0.267167497
30063,"Montana, Missoula",0.462392956,0.495505901,0.444444444,0.596166643,0.6714,0.52045855,0.365411476,0.335329341,0.501650799,0.195806278,0.175864718,0.413674351
